mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,encoded_name
16.0,8,304.0,150,3433,12.0,70,1,amc rebel sst,14
27.0,4,97.0,88,2130,14.5,70,3,datsun pl510,95
37.0,4,91.0,68,2025,18.2,82,3,mazda glc custom l,179
36.1,4,91.0,60,1800,16.4,78,3,honda civic cvcc,171
23.0,4,115.0,95,2694,15.0,75,2,audi 100ls,17
14.0,8,400.0,175,4385,12.0,72,1,pontiac catalina,241
32.8,4,78.0,52,1985,19.4,78,3,mazda glc deluxe,180
29.9,4,98.0,65,2380,20.7,81,1,ford escort 2h,130
20.0,4,97.0,88,2279,19.0,73,3,toyota carina,263
12.0,8,429.0,198,4952,11.5,73,1,mercury marquis brougham,193
15.5,8,400.0,190,4325,12.2,77,1,chrysler cordoba,70
23.7,3,70.0,100,2420,12.5,80,3,mazda rx-7 gs,182
24.0,4,116.0,75,2158,15.5,73,2,opel manta,209
36.0,4,79.0,58,1825,18.6,77,2,renault 5 gtl,256
19.0,6,156.0,108,2930,15.5,76,3,toyota mark ii,276
38.0,4,105.0,63,2125,14.7,82,1,plymouth horizon miser,227
29.0,4,135.0,84,2525,16.0,82,1,dodge aries se,96
21.5,6,231.0,115,3245,15.4,79,1,pontiac lemans v6,247
27.9,4,156.0,105,2800,14.4,80,1,dodge colt,103
14.0,8,318.0,150,4077,14.0,72,1,plymouth satellite custom (sw),233
36.1,4,98.0,66,1800,14.4,78,1,ford fiesta,139
22.0,4,108.0,94,2379,16.5,73,3,datsun 610,87
18.0,6,199.0,97,2774,15.5,70,1,amc hornet,8
17.0,8,304.0,150,3672,11.5,72,1,amc ambassador sst,2
18.0,6,250.0,105,3459,16.0,75,1,chevrolet nova,61
14.0,8,440.0,215,4312,8.5,70,1,plymouth fury iii,223
26.0,4,97.0,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,282
13.0,8,350.0,150,4699,14.5,74,1,buick century luxus (sw),27
33.0,4,105.0,74,2190,14.2,81,2,volkswagen jetta,285
37.0,4,85.0,65,1975,19.4,81,3,datsun 210 mpg,80
32.0,4,71.0,65,1836,21.0,74,3,toyota corolla 1200,267
28.0,4,107.0,86,2464,15.5,76,2,fiat 131,125
19.2,8,267.0,125,3605,15.0,79,1,chevrolet malibu classic (sw),56
32.0,4,91.0,67,1965,15.7,82,3,honda civic (auto),168
27.4,4,121.0,80,2670,15.0,79,1,amc spirit dl,15
20.0,4,140.0,90,2408,19.5,72,1,chevrolet vega,63
26.0,4,96.0,69,2189,18.0,72,2,renault 12 (sw),253
20.6,6,225.0,110,3360,16.6,79,1,dodge aspen 6,99
37.3,4,91.0,69,2130,14.7,79,2,fiat strada custom,126
16.2,6,163.0,133,3410,15.8,78,2,peugeot 604sl,214
15.0,8,350.0,145,4440,14.0,75,1,chevrolet bel air,42
21.0,4,140.0,72,2401,19.5,73,1,chevrolet vega,63
21.0,6,200.0,85,2587,16.0,70,1,ford maverick,150
20.5,6,200.0,95,3155,18.2,78,1,chevrolet malibu,55
21.0,6,199.0,90,2648,15.0,70,1,amc gremlin,7
25.4,6,168.0,116,2900,12.6,81,3,toyota cressida,275
34.1,4,91.0,68,1985,16.0,81,3,mazda glc 4,177
27.0,4,151.0,90,2950,17.3,82,1,chevrolet camaro,43
36.0,4,98.0,70,2125,17.3,82,1,mercury lynx l,191
31.6,4,120.0,74,2635,18.3,81,3,mazda 626,175
38.1,4,89.0,60,1968,18.8,80,3,toyota corolla tercel,270
32.0,4,83.0,61,2003,19.0,74,3,datsun 710,88
40.8,4,85.0,65,2110,19.2,80,3,datsun 210,79
19.0,6,232.0,90,3211,17.0,75,1,amc pacer,12
20.0,4,114.0,91,2582,14.0,73,2,audi 100ls,17
22.0,6,250.0,105,3353,14.5,76,1,chevrolet nova,61
17.5,6,258.0,95,3193,17.8,76,1,amc pacer d/l,13
35.1,4,81.0,60,1760,16.1,81,3,honda civic 1300,169
30.5,4,98.0,63,2051,17.0,77,1,chevrolet chevette,51
33.7,4,107.0,75,2210,14.4,81,3,honda prelude,172
19.0,6,250.0,88,3302,15.5,71,1,ford torino 500,162
14.0,8,302.0,140,4638,16.0,74,1,ford gran torino (sw),143
15.5,8,351.0,142,4054,14.3,79,1,ford country squire (sw),129
15.0,6,250.0,72,3158,19.5,75,1,ford maverick,150
22.5,6,232.0,90,3085,17.6,76,1,amc hornet,8
29.0,4,85.0,52,2035,22.2,76,1,chevrolet chevette,51
23.0,4,97.0,54,2254,23.5,72,2,volkswagen type 3,293
18.0,3,70.0,90,2124,13.5,73,3,maxda rx3,174
25.5,4,122.0,96,2300,15.5,77,1,plymouth arrow gs,216
24.0,4,119.0,97,2545,17.0,75,3,datsun 710,88
14.0,8,454.0,220,4354,9.0,70,1,chevrolet impala,54
16.5,8,351.0,138,3955,13.2,79,1,mercury grand marquis,190
20.3,5,131.0,103,2830,15.9,78,2,audi 5000,19
26.0,4,108.0,93,2391,15.5,74,3,subaru,261
15.0,8,383.0,170,3563,10.0,70,1,dodge challenger se,101
33.8,4,97.0,67,2145,18.0,80,3,subaru dl,262
11.0,8,400.0,150,4997,14.0,73,1,chevrolet impala,54
28.0,4,97.0,92,2288,17.0,72,3,datsun 510 (sw),85
19.0,6,225.0,100,3630,17.7,77,1,plymouth volare custom,238
30.0,4,97.0,67,1985,16.4,77,3,subaru dl,262
27.2,4,141.0,71,3190,24.8,79,2,peugeot 504,211
16.5,6,168.0,120,3820,16.7,76,2,mercedes-benz 280s,186
29.0,4,97.0,75,2171,16.0,75,3,toyota corolla,266
20.0,8,262.0,110,3221,13.5,75,1,chevrolet monza 2+2,60
15.0,8,318.0,150,3777,12.5,73,1,dodge coronet custom,109
17.5,8,318.0,140,4080,13.7,78,1,dodge magnum xe,115
18.0,6,225.0,95,3785,19.0,75,1,plymouth fury,221
24.0,4,90.0,75,2108,15.5,74,2,fiat 128,124
20.2,6,232.0,90,3265,18.2,79,1,amc concord dl 6,6
13.0,8,351.0,158,4363,13.0,73,1,ford ltd,148
12.0,8,350.0,160,4456,13.5,72,1,oldsmobile delta 88 royale,203
20.0,6,156.0,122,2807,13.5,73,3,toyota mark ii,276
13.0,8,360.0,175,3821,11.0,73,1,amc ambassador brougham,0
26.0,4,97.0,78,2300,14.5,74,2,opel manta,209
34.5,4,105.0,70,2150,14.9,79,1,plymouth horizon tc3,228
18.0,6,225.0,105,3121,16.5,73,1,plymouth valiant,235
18.5,6,250.0,98,3525,19.0,77,1,ford granada,144
13.0,8,350.0,155,4502,13.5,72,1,buick lesabre custom,31
26.0,4,121.0,113,2234,12.5,70,2,bmw 2002,22
18.0,6,232.0,100,3288,15.5,71,1,amc matador,10
31.0,4,76.0,52,1649,16.5,74,3,toyota corona,271
24.0,4,121.0,110,2660,14.0,73,2,saab 99le,260
11.0,8,429.0,208,4633,11.0,72,1,mercury marquis,192
19.4,8,318.0,140,3735,13.2,78,1,dodge diplomat,114
32.9,4,119.0,100,2615,14.8,81,3,datsun 200sx,78
31.5,4,89.0,71,1990,14.9,78,2,volkswagen scirocco,291
19.1,6,225.0,90,3381,18.7,80,1,dodge aspen,98
24.0,6,200.0,81,3012,17.6,76,1,ford maverick,150
20.0,6,198.0,95,3102,16.5,74,1,plymouth duster,220
28.0,4,90.0,75,2125,14.5,74,1,dodge colt,103
29.0,4,97.0,78,1940,14.5,77,2,volkswagen rabbit custom,288
14.0,8,304.0,150,3672,11.5,73,1,amc matador,10
35.0,4,122.0,88,2500,15.1,80,2,triumph tr7 coupe,280
29.5,4,97.0,71,1825,12.2,76,2,volkswagen rabbit,287
23.6,4,140.0,?,2905,14.3,80,1,ford mustang cobra,152
15.5,8,318.0,145,4140,13.7,77,1,dodge monaco brougham,117
20.6,6,231.0,105,3380,15.8,78,1,buick century special,28
34.2,4,105.0,70,2200,13.2,79,1,plymouth horizon,225
25.0,4,116.0,81,2220,16.9,76,2,opel 1900,208
36.4,5,121.0,67,2950,19.9,80,2,audi 5000s (diesel),20
22.3,4,140.0,88,2890,17.3,79,1,ford fairmont 4,137
19.0,4,120.0,88,3270,21.9,76,2,peugeot 504,211
19.8,6,200.0,85,2990,18.2,79,1,mercury zephyr 6,197
31.0,4,79.0,67,1950,19.0,74,3,datsun b210,92
14.0,8,350.0,165,4209,12.0,71,1,chevrolet impala,54
14.0,8,340.0,160,3609,8.0,70,1,plymouth 'cuda 340,215
43.4,4,90.0,48,2335,23.7,80,2,vw dasher (diesel),300
26.0,4,98.0,79,2255,17.7,76,1,dodge colt,103
33.5,4,85.0,70,1945,16.8,77,3,datsun f-10 hatchback,94
19.0,4,122.0,85,2310,18.5,73,1,ford pinto,156
22.0,4,121.0,98,2945,14.5,75,2,volvo 244dl,296
27.2,4,119.0,97,2300,14.7,78,3,datsun 510,84
32.7,6,168.0,132,2910,11.4,80,3,datsun 280-zx,81
29.0,4,68.0,49,1867,19.5,73,2,fiat 128,124
17.6,6,225.0,85,3465,16.6,81,1,chrysler lebaron salon,72
23.0,4,151.0,?,3035,20.5,82,1,amc concord dl,5
34.0,4,108.0,70,2245,16.9,82,3,toyota corolla,266
17.6,8,302.0,129,3725,13.4,79,1,ford ltd landau,149
30.7,6,145.0,76,3160,19.6,81,2,volvo diesel,299
21.0,6,231.0,110,3039,15.0,75,1,buick skyhawk,34
38.0,4,91.0,67,1995,16.2,82,3,datsun 310 gx,83
16.0,8,302.0,140,4141,14.0,74,1,ford gran torino,142
15.0,6,250.0,72,3432,21.0,75,1,mercury monarch,194
20.0,6,225.0,100,3651,17.7,76,1,dodge aspen se,100
29.0,4,90.0,70,1937,14.2,76,2,vw rabbit,302
32.0,4,144.0,96,2665,13.9,82,3,toyota celica gt,264
18.0,8,318.0,150,3436,11.0,70,1,plymouth satellite,231
32.0,4,85.0,70,1990,17.0,76,3,datsun b-210,91
15.0,8,350.0,145,4082,13.0,73,1,chevrolet monte carlo s,59
16.0,8,351.0,149,4335,14.5,77,1,ford thunderbird,160
34.0,4,112.0,88,2395,18.0,82,1,chevrolet cavalier 2-door,46
10.0,8,307.0,200,4376,15.0,70,1,chevy c20,68
19.0,4,121.0,112,2868,15.5,73,2,volvo 144ea,294
28.4,4,151.0,90,2670,16.0,79,1,buick skylark limited,37
15.0,8,302.0,130,4295,14.9,77,1,mercury cougar brougham,189
32.3,4,97.0,67,2065,17.8,81,3,subaru,261
30.0,4,98.0,68,2155,16.5,78,1,chevrolet chevette,51
26.4,4,140.0,88,2870,18.1,80,1,ford fairmont,134
30.0,4,135.0,84,2385,12.9,81,1,plymouth reliant,229
19.0,6,232.0,100,2901,16.0,74,1,amc hornet,8
13.0,8,302.0,140,4294,16.0,72,1,ford gran torino (sw),143
32.2,4,108.0,75,2265,15.2,80,3,toyota corolla,266
27.0,4,97.0,88,2130,14.5,71,3,datsun pl510,95
28.0,4,98.0,80,2164,15.0,72,1,dodge colt (sw),104
44.6,4,91.0,67,1850,13.8,80,3,honda civic 1500 gl,170
18.0,6,232.0,100,2789,15.0,73,1,amc gremlin,7
39.4,4,85.0,70,2070,18.6,78,3,datsun b210 gx,93
25.1,4,140.0,88,2720,15.4,78,1,ford fairmont (man),136
16.0,6,250.0,100,3781,17.0,74,1,chevrolet chevelle malibu classic,50
43.1,4,90.0,48,1985,21.5,78,2,volkswagen rabbit custom diesel,289
25.0,4,140.0,92,2572,14.9,76,1,capri ii,40
16.9,8,350.0,155,4360,14.9,79,1,buick estate wagon (sw),30
13.0,8,400.0,175,5140,12.0,71,1,pontiac safari (sw),250
20.2,6,200.0,88,3060,17.1,81,1,ford granada gl,146
14.0,8,351.0,153,4129,13.0,72,1,ford galaxie 500,141
37.0,4,119.0,92,2434,15.0,80,3,datsun 510 hatchback,86
13.0,8,350.0,175,4100,13.0,73,1,buick century 350,25
21.5,4,121.0,110,2600,12.8,77,2,bmw 320i,23
27.0,4,101.0,83,2202,15.3,76,2,renault 12tl,254
14.0,8,351.0,148,4657,13.5,75,1,ford ltd,148
15.0,8,400.0,150,3761,9.5,70,1,chevrolet monte carlo,57
17.0,6,250.0,100,3329,15.5,71,1,chevrolet chevelle malibu,49
9.0,8,304.0,193,4732,18.5,70,1,hi 1200d,163
23.0,4,140.0,78,2592,18.5,75,1,pontiac astro,240
26.0,4,79.0,67,1963,15.5,74,2,volkswagen dasher,284
34.3,4,97.0,78,2188,15.8,80,2,audi 4000,18
23.2,4,156.0,105,2745,16.7,78,1,plymouth sapporo,230
17.5,8,305.0,145,3880,12.5,77,1,chevrolet caprice classic,44
12.0,8,455.0,225,4951,11.0,73,1,buick electra 225 custom,29
30.0,4,79.0,70,2074,19.5,71,2,peugeot 304,210
30.5,4,97.0,78,2190,14.1,77,2,volkswagen dasher,284
25.4,5,183.0,77,3530,20.1,79,2,mercedes benz 300d,184
44.3,4,90.0,48,2085,21.7,80,2,vw rabbit c (diesel),303
23.0,4,120.0,88,2957,17.0,75,2,peugeot 504,211
14.0,8,318.0,150,4096,13.0,71,1,plymouth fury iii,223
29.8,4,89.0,62,1845,15.3,80,2,vokswagen rabbit,281
26.5,4,140.0,72,2565,13.6,76,1,ford pinto,156
20.2,6,200.0,85,2965,15.8,78,1,ford fairmont (auto),135
38.0,6,262.0,85,3015,17.0,82,1,oldsmobile cutlass ciera (diesel),199
17.0,8,302.0,140,3449,10.5,70,1,ford torino,161
20.5,6,225.0,100,3430,17.2,78,1,plymouth volare,237
32.4,4,108.0,75,2350,16.8,81,3,toyota corolla,266
18.0,6,250.0,88,3021,16.5,73,1,ford maverick,150
20.5,6,231.0,105,3425,16.9,77,1,buick skylark,35
25.8,4,156.0,92,2620,14.4,81,1,dodge aries wagon (sw),97
13.0,8,350.0,145,4055,12.0,76,1,chevy c10,67
24.0,4,134.0,96,2702,13.5,75,3,toyota corona,271
16.0,6,250.0,100,3278,18.0,73,1,chevrolet nova custom,62
13.0,8,318.0,150,3755,14.0,76,1,dodge d100,111
21.0,4,122.0,86,2226,16.5,72,1,ford pinto runabout,158
19.0,6,250.0,100,3282,15.0,71,1,pontiac firebird,243
25.0,4,98.0,?,2046,19.0,71,1,ford pinto,156
27.5,4,134.0,95,2560,14.2,78,3,toyota corona,271
18.0,6,250.0,78,3574,21.0,76,1,ford granada ghia,145
34.5,4,100.0,?,2320,15.8,81,2,renault 18i,255
11.0,8,318.0,210,4382,13.5,70,1,dodge d200,112
32.1,4,98.0,70,2120,15.5,80,1,chevrolet chevette,51
15.5,8,350.0,170,4165,11.4,77,1,chevrolet monte carlo landau,58
18.6,6,225.0,110,3620,18.7,78,1,dodge aspen,98
18.2,8,318.0,135,3830,15.2,79,1,dodge st. regis,120
15.0,6,258.0,110,3730,19.0,75,1,amc matador,10
27.2,4,135.0,84,2490,15.7,81,1,plymouth reliant,229
14.0,8,318.0,150,4457,13.5,74,1,dodge coronet custom (sw),110
13.0,8,350.0,165,4274,12.0,72,1,chevrolet impala,54
18.0,6,225.0,105,3613,16.5,74,1,plymouth satellite sebring,234
15.0,6,250.0,100,3336,17.0,74,1,chevrolet nova,61
14.0,8,455.0,225,4425,10.0,70,1,pontiac catalina,241
15.0,8,318.0,150,4135,13.5,72,1,plymouth fury iii,223
23.9,8,260.0,90,3420,22.2,79,1,oldsmobile cutlass salon brougham,201
24.0,4,113.0,95,2372,15.0,70,3,toyota corona mark ii,274
16.0,8,400.0,170,4668,11.5,75,1,pontiac catalina,241
14.0,8,351.0,153,4154,13.5,71,1,ford galaxie 500,141
26.6,8,350.0,105,3725,19.0,81,1,oldsmobile cutlass ls,200
46.6,4,86.0,65,2110,17.9,80,3,mazda glc,176
31.5,4,98.0,68,2045,18.5,77,3,honda accord cvcc,165
29.5,4,98.0,68,2135,16.6,78,3,honda accord lx,166
27.0,4,112.0,88,2640,18.6,82,1,chevrolet cavalier wagon,47
25.5,4,140.0,89,2755,15.8,77,1,ford mustang ii 2+2,155
20.0,4,130.0,102,3150,15.7,76,2,volvo 245,297
16.5,8,350.0,180,4380,12.1,76,1,cadillac seville,39
35.7,4,98.0,80,1915,14.4,79,1,dodge colt hatchback custom,106
24.2,6,146.0,120,2930,13.8,81,3,datsun 810 maxima,90
20.2,8,302.0,139,3570,12.8,78,1,mercury monarch ghia,195
26.0,4,156.0,92,2585,14.5,82,1,chrysler lebaron medallion,71
22.4,6,231.0,110,3415,15.8,81,1,buick century,24
31.8,4,85.0,65,2020,19.2,79,3,datsun 210,79
30.9,4,105.0,75,2230,14.5,78,1,dodge omni,118
18.5,6,250.0,110,3645,16.2,76,1,pontiac ventura sj,252
16.0,6,250.0,105,3897,18.5,75,1,chevroelt chevelle malibu,41
13.0,8,400.0,170,4746,12.0,71,1,ford country squire (sw),129
30.0,4,111.0,80,2155,14.8,77,1,buick opel isuzu deluxe,32
14.5,8,351.0,152,4215,12.8,76,1,ford gran torino,142
41.5,4,98.0,76,2144,14.7,80,2,vw rabbit,302
20.8,6,200.0,85,3070,16.7,78,1,mercury zephyr,196
13.0,8,360.0,170,4654,13.0,73,1,plymouth custom suburb,219
31.0,4,71.0,65,1773,19.0,71,3,toyota corolla 1200,267
15.0,8,350.0,165,3693,11.5,70,1,buick skylark 320,36
23.0,4,122.0,86,2220,14.0,71,1,mercury capri 2000,187
22.0,4,122.0,86,2395,16.0,72,1,ford pinto (sw),157
28.0,4,97.0,75,2155,16.4,76,3,toyota corolla,266
16.0,6,225.0,105,3439,15.5,71,1,plymouth satellite custom,232
17.7,6,231.0,165,3445,13.4,78,1,buick regal sport coupe (turbo),33
13.0,8,400.0,150,4464,12.0,73,1,chevrolet caprice classic,44
26.6,4,151.0,84,2635,16.4,81,1,buick skylark,35
30.0,4,88.0,76,2065,14.5,71,2,fiat 124b,123
18.1,8,302.0,139,3205,11.2,78,1,ford futura,140
22.0,6,146.0,97,2815,14.5,77,3,datsun 810,89
14.0,8,455.0,225,3086,10.0,70,1,buick estate wagon (sw),30
24.3,4,151.0,90,3003,20.1,80,1,amc concord,3
14.0,8,302.0,137,4042,14.5,73,1,ford gran torino,142
23.9,4,119.0,97,2405,14.9,78,3,datsun 200-sx,77
13.0,8,302.0,129,3169,12.0,75,1,ford mustang ii,154
30.0,4,146.0,67,3250,21.8,80,2,mercedes-benz 240d,185
36.0,4,135.0,84,2370,13.0,82,1,dodge charger 2.2,102
16.0,6,258.0,110,3632,18.0,74,1,amc matador,10
28.8,6,173.0,115,2595,11.3,79,1,chevrolet citation,52
36.0,4,107.0,75,2205,14.5,82,3,honda accord,164
31.3,4,120.0,75,2542,17.5,80,3,mazda 626,175
21.5,3,80.0,110,2720,13.5,77,3,mazda rx-4,181
35.0,4,72.0,69,1613,18.0,71,3,datsun 1200,76
28.0,4,116.0,90,2123,14.0,71,2,opel 1900,208
18.0,6,171.0,97,2984,14.5,75,1,ford pinto,156
15.5,8,304.0,120,3962,13.9,76,1,amc matador,10
32.0,4,135.0,84,2295,11.6,82,1,dodge rampage,119
17.5,8,305.0,140,4215,13.0,76,1,chevrolet chevelle malibu classic,50
20.0,6,232.0,100,2914,16.0,75,1,amc gremlin,7
25.0,4,97.5,80,2126,17.0,72,1,dodge colt hardtop,105
18.0,6,250.0,88,3139,14.5,71,1,ford mustang,151
39.0,4,86.0,64,1875,16.4,81,1,plymouth champ,217
26.0,4,97.0,75,2265,18.2,77,3,toyota corolla liftback,269
19.2,6,231.0,105,3535,19.2,78,1,pontiac phoenix lj,249
24.0,4,107.0,90,2430,14.5,70,2,audi 100 ls,16
28.0,4,151.0,90,2678,16.5,80,1,chevrolet citation,52
17.0,6,231.0,110,3907,21.0,75,1,buick century,24
21.6,4,121.0,115,2795,15.7,78,2,saab 99gle,259
22.0,6,225.0,100,3233,15.4,76,1,plymouth valiant,235
31.9,4,89.0,71,1925,14.0,79,2,vw rabbit custom,304
39.1,4,79.0,58,1755,16.9,81,3,toyota starlet,277
19.4,6,232.0,90,3210,17.2,78,1,amc concord,3
33.5,4,151.0,90,2556,13.2,79,1,pontiac phoenix,248
24.0,4,120.0,97,2489,15.0,74,3,honda civic,167
26.0,4,122.0,80,2451,16.5,74,1,ford pinto,156
31.0,4,79.0,67,2000,16.0,74,2,fiat x1.9,127
28.1,4,141.0,80,3230,20.4,81,2,peugeot 505s turbo diesel,213
18.0,6,232.0,100,2945,16.0,73,1,amc hornet,8
27.0,4,151.0,90,2735,18.0,82,1,pontiac phoenix,248
13.0,8,350.0,145,3988,13.0,73,1,chevrolet malibu,55
40.9,4,85.0,?,1835,17.3,80,2,renault lecar deluxe,257
13.0,8,302.0,130,3870,15.0,76,1,ford f108,132
15.0,8,318.0,150,3399,11.0,73,1,dodge dart custom,113
31.0,4,119.0,82,2720,19.4,82,1,chevy s-10,69
25.0,4,110.0,87,2672,17.5,70,2,peugeot 504,211
16.0,8,318.0,150,4190,13.0,76,1,dodge coronet brougham,108
19.0,3,70.0,97,2330,13.5,72,3,mazda rx2 coupe,183
12.0,8,350.0,180,4499,12.5,73,1,oldsmobile vista cruiser,207
21.1,4,134.0,95,2515,14.8,78,3,toyota celica gt liftback,265
37.7,4,89.0,62,2050,17.3,81,3,toyota tercel,278
26.0,4,97.0,46,1950,21.0,73,2,volkswagen super beetle,292
